command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
11010001,101,1,1,110931,110,-421,-209.3,1.35,0,nyx_idle_normal
11010002,101,1,1,104831,110,121.8,-182.5,1.35,0,nyx_idle_normal
11010003,101,1,1,104631,110,227.7,-182.5,1.35,0,nyx_idle_normal
11010004,101,1,1,103231,110,340.3,-182.5,1.35,1,nyx_talk_normal
11010005,101,1,1,103431,110,449.6,-182.5,1.35,1,nyx_idle_normal
11010006,101,5,2,2,120,-421,-209.3,1.35,0,NoItem
11010007,101,31,1,1,0,0,1,1,"",""
11010008,101,31,15,3,-300,0,1,0,"",""
11010009,101,31,15,4,-300,0,1.5,0,"",""
11010010,101,25,bgm_M347,bgm_M347,"","","","","",""
11010011,101,93,2,"","","","","","",""
11010012,101,3,2,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010013,101,3,110931,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010014,101,11,110931,"Cheru~n! ♪\nThe key point\nis impact!",20,"","","","",""
11010015,101,93,0.4,"","","","","","",""
11010016,101,32,3,0,"","","","","",""
11010017,101,32,3,1,"","","","","",""
11010018,101,91,11010014,"","","","","","",""
11010019,101,11,110931,"I'll hit the judges with\na ""cherun"" so strong\nit'll capture their hearts!",20,"","","","",""
11010020,101,93,1,"","","","","","",""
11010021,101,3,103231,nyx_idle_joy1,1,"","",0.2,"",""
11010022,101,3,104631,nyx_cmn_05,1,"","",0.2,"",""
11010023,101,91,11010019,"","","","","","",""
11010024,101,3,2,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010025,101,3,110931,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010026,101,11,110931,"Cheru~n! ♪\nNo, I can do better...\nChe☆ruuuu~n!",14,"","","","",""
11010027,101,93,0.4,"","","","","","",""
11010028,101,32,3,0,"","","","","",""
11010029,101,32,3,1,"","","","","",""
11010030,101,93,0.6,"","","","","","",""
