equipment_id,equipment_name,description,promotion_level,craft_flg,equipment_enhance_point,sale_price,require_level,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,enable_donation,accuracy
101011,"Iron Blade","An inexpensive blade, available wherever swords are sold. When a swordsman in training takes that all-important first swing, they're usually holding one of these.",1,0,1,60,1,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101071,"Killer Pen","A dagger designed to look like a pen. It may not be mightier than the sword, but it's a lot easier to conceal.",1,0,1,60,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101101,"Wooden Knuckles","A wooden weapon made to protect the fists. The design, though simple, does reduce some of the impact on the joints.",1,0,1,60,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101131,"Hunter's Bow","A stock-standard wooden bow, favored by hunters. With its excellent power and range, it's perfect for bagging all kinds of game.",1,0,1,60,1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101161,"Steel Spear","A spear often wielded by soldiers. Its ease of use and long reach make it a popular choice on the battlefield.",1,0,1,60,1,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101191,"Hand Axe","A small axe held in one hand. Originally made for throwing, it has proven so easy to wield that it is often used in melee combat.",1,0,1,60,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101251,"Fragrant Wood Staff","A staff made from the wood of the Astraean cypress, a fragrant tree that grows in the Mysterion Woods. Its scent helps calm the wounded.",1,0,1,60,1,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101281,"Leather Overalls","Originally an apron for craftsmen, as evidenced by the large front pocket. Fledgling adventurers use this extra storage space to carry lots of gear.",1,0,2,60,2,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101371,"Traveler's Robe","A favored first choice of adventurers. The name is meant to instill luck to all those making that first foray into the world.",1,0,2,60,2,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101401,"Wooden Shield","A shield made from a coniferous tree known as the Astraean Cedar. Cheap and easily made, they are a common sight among warriors-in-training.",1,0,2,60,2,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101431,"Leather Boots","A standard item that is loved by not only adventurers. Light and easy to walk in. The longer you wear them the more comfortable they become.",1,0,2,60,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101521,"Fashionable Beret","Originally a hat worn by painters. Because it's handy against the sun and wind, it's a popular item for novice adventurers.",1,0,2,60,2,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
